,instant,season,is_yr_one,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,Categorical_target
2271,2272,2,False,4,12,False,6,False,2,0.36,0.81,0.1343,79,123,202,High demand
16942,16943,4,True,12,17,False,4,True,1,0.32,0.42,0.1045,43,507,550,Medium-High demand
5309,5310,3,False,8,3,False,0,False,2,0.64,0.94,0.2537,5,22,27,Medium-Low demand
7845,7846,4,False,11,13,False,1,True,2,0.58,0.56,0.0,25,137,162,Medium-High demand
150,151,1,False,1,13,False,5,True,2,0.2,0.37,0.2836,9,64,73,Medium-Low demand
9763,9764,1,True,2,18,False,4,True,3,0.34,0.87,0.1343,8,345,353,Medium-Low demand
35,36,1,False,1,12,False,0,False,2,0.36,0.66,0.2985,20,73,93,Medium-High demand
9310,9311,1,True,1,20,False,6,False,1,0.4,0.35,0.3881,5,115,120,Medium-Low demand
248,249,1,False,1,17,False,2,True,2,0.16,0.86,0.2239,6,130,136,Medium-Low demand
314,315,1,False,1,14,False,5,True,1,0.22,0.41,0.2836,5,59,64,Medium-Low demand
14782,14783,3,True,9,3,False,4,True,1,0.52,0.83,0.0,2,9,11,Low demand
4130,4131,3,False,6,0,False,0,False,1,0.64,0.53,0.0,30,85,115,Medium-High demand
4868,4869,3,False,7,18,False,2,True,1,0.84,0.39,0.3881,68,478,546,High demand
6752,6753,4,False,10,22,False,4,True,1,0.62,0.83,0.194,13,101,114,Medium-Low demand
8253,8254,4,False,12,13,False,4,True,2,0.5,0.55,0.3582,14,150,164,Medium-Low demand
15693,15694,4,True,10,2,False,0,False,1,0.4,0.62,0.1642,44,88,132,Medium-High demand
462,463,1,False,1,7,False,5,True,1,0.2,0.51,0.2836,2,66,68,Low demand
8361,8362,4,False,12,1,False,2,True,1,0.36,0.53,0.0,0,6,6,Low demand
16241,16242,4,True,11,11,False,3,True,1,0.32,0.49,0.2537,25,126,151,Medium-High demand
6350,6351,4,False,9,4,False,2,True,3,0.62,0.94,0.0896,5,3,8,Medium-Low demand
9451,9452,1,True,2,17,False,5,True,1,0.4,0.37,0.0896,30,458,488,Medium-High demand
16952,16953,4,True,12,3,False,5,True,1,0.2,0.69,0.1045,0,12,12,Low demand
11603,11604,2,True,5,16,False,4,True,1,0.68,0.57,0.1642,45,325,370,Medium-High demand
2864,2865,2,False,5,6,False,3,True,3,0.34,0.93,0.3881,0,21,21,Low demand
16507,16508,4,True,11,13,False,0,False,2,0.26,0.41,0.1642,37,158,195,Medium-High demand
2812,2813,2,False,5,2,False,1,True,2,0.44,0.77,0.2239,16,19,35,Medium-Low demand
9508,9509,1,True,2,2,False,1,True,1,0.22,0.75,0.0,0,3,3,Low demand
5209,5210,3,False,8,23,False,2,True,1,0.76,0.48,0.2836,22,53,75,Medium-High demand
3674,3675,2,False,6,0,False,2,True,1,0.64,0.65,0.0896,5,15,20,Medium-Low demand
4245,4246,3,False,6,19,False,4,True,1,0.74,0.33,0.194,89,366,455,High demand
9048,9049,1,True,1,22,False,2,True,1,0.46,0.72,0.3881,5,85,90,Medium-Low demand
1692,1693,1,False,3,4,False,3,True,2,0.3,0.93,0.1642,0,1,1,Low demand
7794,7795,4,False,11,9,False,6,False,1,0.34,0.76,0.0896,16,67,83,Medium-Low demand
2721,2722,2,False,4,7,False,4,True,2,0.64,0.78,0.4478,14,201,215,Medium-Low demand
1617,1618,1,False,3,21,False,6,False,1,0.38,0.62,0.0,36,46,82,Medium-High demand
16313,16314,4,True,11,11,False,6,False,1,0.38,0.43,0.194,80,343,423,High demand
11463,11464,2,True,4,20,False,5,True,1,0.46,0.31,0.2836,49,240,289,High demand
10869,10870,2,True,4,1,False,2,True,1,0.38,0.46,0.2239,0,11,11,Low demand
2113,2114,2,False,4,22,False,6,False,1,0.32,0.61,0.2985,14,41,55,Medium-Low demand
12391,12392,2,True,6,12,False,2,True,2,0.54,0.56,0.2239,45,202,247,Medium-High demand
12390,12391,2,True,6,11,False,2,True,2,0.56,0.56,0.194,65,162,227,High demand
7465,7466,4,False,11,16,False,6,False,1,0.52,0.32,0.2537,137,224,361,High demand
4620,4621,3,False,7,10,False,6,False,1,0.72,0.54,0.194,114,208,322,High demand
9001,9002,1,True,1,22,False,0,False,1,0.18,0.37,0.0896,2,58,60,Low demand
7915,7916,4,False,12,11,False,4,True,1,0.34,0.49,0.2537,7,95,102,Medium-Low demand
5031,5032,3,False,8,13,False,2,True,1,0.86,0.3,0.2239,50,153,203,High demand
6010,6011,3,False,9,0,False,2,True,1,0.6,0.88,0.1045,7,19,26,Medium-Low demand
8056,8057,4,False,12,8,False,3,True,3,0.44,1.0,0.0,6,80,86,Medium-Low demand
1457,1458,1,False,3,0,False,0,False,2,0.42,0.77,0.3582,11,41,52,Medium-Low demand
9263,9264,1,True,1,21,False,4,True,2,0.4,0.76,0.1045,8,184,192,Medium-Low demand
62,63,1,False,1,17,False,1,True,1,0.24,0.3,0.2239,11,146,157,Medium-Low demand
6624,6625,4,False,10,14,False,6,False,1,0.62,0.5,0.0896,251,214,465,High demand
11187,11188,2,True,4,8,True,1,False,2,0.56,0.83,0.1642,48,549,597,Medium-High demand
15408,15409,4,True,10,5,False,2,True,2,0.38,0.82,0.194,0,19,19,Low demand
685,686,1,False,1,21,False,1,True,3,0.16,0.59,0.0896,3,53,56,Low demand
14923,14924,3,True,9,0,False,3,True,2,0.56,0.68,0.2836,3,23,26,Low demand
8007,8008,4,False,12,7,False,1,True,1,0.32,0.9,0.0,9,274,283,Medium-Low demand
6838,6839,4,False,10,12,False,1,True,1,0.56,0.4,0.0896,39,166,205,Medium-High demand
10636,10637,2,True,3,7,False,6,False,2,0.5,0.88,0.1343,25,45,70,Medium-High demand
472,473,1,False,1,17,False,5,True,1,0.14,0.28,0.3582,10,151,161,Medium-Low demand
16263,16264,4,True,11,9,False,4,True,2,0.32,0.61,0.194,17,306,323,Medium-Low demand
5885,5886,3,False,9,17,False,3,True,3,0.64,0.89,0.0,21,264,285,Medium-High demand
12284,12285,2,True,6,1,False,5,True,1,0.64,0.53,0.2239,0,34,34,Low demand
8188,8189,4,False,12,20,False,1,True,1,0.3,0.56,0.0896,8,157,165,Medium-Low demand
15491,15492,4,True,10,16,False,5,True,1,0.46,0.41,0.3582,108,412,520,High demand
1019,1020,1,False,2,4,False,2,True,1,0.22,0.37,0.5224,0,1,1,Low demand
12378,12379,2,True,6,23,False,1,True,1,0.58,0.49,0.2985,8,78,86,Medium-Low demand
11107,11108,2,True,4,0,False,5,True,1,0.4,0.37,0.2537,14,41,55,Medium-Low demand
14532,14533,3,True,9,17,False,0,False,1,0.76,0.66,0.0896,219,284,503,High demand
14619,14620,3,True,9,8,False,4,True,3,0.7,0.79,0.0,24,622,646,Medium-High demand
6576,6577,4,False,10,14,False,4,True,1,0.58,0.43,0.0896,56,139,195,High demand
15842,15843,4,True,10,7,False,6,False,1,0.48,0.83,0.194,7,79,86,Medium-Low demand
4498,4499,3,False,7,8,False,1,True,1,0.74,0.66,0.2836,35,385,420,Medium-High demand
4742,4743,3,False,7,12,False,4,True,1,0.88,0.56,0.3284,29,106,135,Medium-High demand
13874,13875,3,True,8,7,False,1,True,3,0.72,0.7,0.194,14,393,407,Medium-Low demand
9871,9872,1,True,2,8,False,2,True,1,0.2,0.69,0.0896,5,459,464,Medium-Low demand
17141,17142,1,True,12,0,False,6,False,1,0.26,0.44,0.5821,1,30,31,Low demand
9398,9399,1,True,2,12,False,3,True,1,0.44,0.54,0.1045,26,153,179,Medium-High demand
15727,15728,4,True,10,12,False,1,True,1,0.58,0.35,0.0,52,231,283,High demand
9680,9681,1,True,2,7,False,1,True,1,0.1,0.54,0.194,1,194,195,Low demand
4140,4141,3,False,6,10,False,0,False,1,0.72,0.48,0.1045,136,196,332,High demand
4012,4013,3,False,6,2,False,2,True,3,0.62,0.83,0.1642,1,5,6,Low demand
8984,8985,1,True,1,5,False,0,False,2,0.16,0.47,0.3284,0,5,5,Low demand
11861,11862,2,True,5,10,False,1,True,3,0.54,0.88,0.2537,6,53,59,Medium-Low demand
5374,5375,3,False,8,20,False,2,True,1,0.74,0.51,0.0,48,232,280,Medium-High demand
8192,8193,4,False,12,0,False,2,True,1,0.22,0.8,0.0,1,16,17,Low demand
16503,16504,4,True,11,9,False,0,False,2,0.24,0.48,0.2239,13,83,96,Medium-Low demand
1264,1265,1,False,2,20,False,5,True,1,0.3,0.49,0.6119,2,60,62,Low demand
3122,3123,2,False,5,0,False,0,False,2,0.52,1.0,0.0,5,34,39,Medium-Low demand
13052,13053,3,True,7,1,False,2,True,1,0.72,0.58,0.0,5,9,14,Medium-Low demand
14953,14954,3,True,9,6,False,4,True,1,0.44,0.77,0.0,9,161,170,Medium-Low demand
4347,4348,3,False,7,1,False,2,True,1,0.7,0.65,0.1045,15,24,39,Medium-Low demand
6124,6125,3,False,9,18,False,6,False,2,0.52,0.72,0.2239,95,234,329,High demand
897,898,1,False,2,21,False,3,True,2,0.14,0.86,0.1642,0,83,83,Low demand
5405,5406,3,False,8,3,False,4,True,1,0.66,0.69,0.2836,0,6,6,Low demand
5533,5534,3,False,8,11,False,2,True,1,0.7,0.34,0.1045,62,124,186,High demand
15549,15550,4,True,10,2,False,1,True,2,0.58,0.64,0.3582,1,5,6,Low demand
4393,4394,3,False,7,23,False,3,True,1,0.68,0.83,0.2239,20,78,98,Medium-High demand
10761,10762,2,True,3,12,False,4,True,1,0.5,0.42,0.4925,64,228,292,High demand
13736,13737,3,True,7,13,False,2,True,1,0.8,0.55,0.2836,69,219,288,High demand
14050,14051,3,True,8,15,False,1,True,1,0.82,0.34,0.2239,80,194,274,High demand
3272,3273,2,False,5,6,False,6,False,1,0.5,0.82,0.1343,6,22,28,Medium-Low demand
15376,15377,4,True,10,21,False,0,False,1,0.38,0.87,0.1045,22,91,113,Medium-High demand
8013,8014,4,False,12,13,False,1,True,2,0.42,0.71,0.0896,18,153,171,Medium-High demand
6343,6344,4,False,9,21,False,1,True,1,0.64,0.89,0.1343,18,164,182,Medium-High demand
6616,6617,4,False,10,6,False,6,False,1,0.42,0.94,0.0,6,16,22,Medium-Low demand
17008,17009,4,True,12,11,False,0,False,2,0.36,0.87,0.1343,47,248,295,Medium-High demand
5217,5218,3,False,8,7,False,3,True,1,0.7,0.58,0.0896,16,289,305,Medium-Low demand
7261,7262,4,False,11,4,False,5,True,2,0.38,0.87,0.0896,1,6,7,Low demand
8896,8897,1,True,1,13,False,3,True,3,0.32,0.76,0.0,8,57,65,Medium-Low demand
16533,16534,4,True,11,15,False,1,True,1,0.42,0.35,0.0896,49,181,230,High demand
14738,14739,3,True,9,7,False,2,True,1,0.5,0.72,0.1045,24,572,596,Medium-High demand
11317,11318,2,True,4,18,False,6,False,2,0.68,0.47,0.4925,133,283,416,High demand
14884,14885,3,True,9,9,False,1,True,1,0.58,0.68,0.1343,34,265,299,Medium-High demand
1556,1557,1,False,3,7,False,4,True,3,0.38,0.0,0.2239,1,36,37,Low demand
15216,15217,4,True,10,5,False,1,True,1,0.44,0.77,0.0,2,34,36,Low demand
8120,8121,4,False,12,0,False,6,False,2,0.26,0.81,0.1045,11,66,77,Medium-Low demand
3537,3538,2,False,6,7,False,3,True,2,0.7,0.79,0.1642,19,265,284,Medium-High demand
1664,1665,1,False,3,22,False,1,True,1,0.32,0.49,0.1045,4,43,47,Low demand
9559,9560,1,True,2,6,False,3,True,2,0.24,0.7,0.0,3,95,98,Low demand
14071,14072,3,True,8,12,False,2,True,1,0.78,0.49,0.1343,93,207,300,High demand
14646,14647,3,True,9,11,False,5,True,1,0.76,0.62,0.1343,81,215,296,High demand
10965,10966,2,True,4,1,False,6,False,1,0.4,0.28,0.2537,9,60,69,Medium-Low demand
16256,16257,4,True,11,2,False,4,True,2,0.26,0.7,0.1642,0,7,7,Low demand
5699,5700,3,False,8,22,False,2,True,1,0.62,0.61,0.0,22,121,143,Medium-High demand
7855,7856,4,False,11,23,False,1,True,2,0.52,0.83,0.1343,5,41,46,Medium-Low demand
17376,17377,1,True,12,21,False,1,True,1,0.26,0.6,0.1642,7,83,90,Medium-Low demand
12473,12474,2,True,6,22,False,5,True,1,0.68,0.41,0.1045,61,230,291,High demand
8447,8448,1,False,12,15,False,5,True,1,0.38,0.54,0.3582,12,191,203,Medium-Low demand
17313,17314,1,True,12,6,False,6,False,2,0.26,0.7,0.1045,0,7,7,Low demand
10342,10343,1,True,3,1,False,1,True,1,0.38,0.5,0.1343,1,9,10,Low demand
9833,9834,1,True,2,16,False,0,False,2,0.32,0.45,0.2836,62,150,212,High demand
16863,16864,4,True,12,10,False,1,True,2,0.44,0.94,0.2239,12,121,133,Medium-Low demand
13357,13358,3,True,7,18,False,0,False,3,0.72,0.79,0.3582,84,228,312,High demand
8540,8541,1,False,12,14,False,2,True,3,0.42,0.82,0.3881,0,14,14,Low demand
277,278,1,False,1,0,False,4,True,1,0.14,0.59,0.2836,1,6,7,Low demand
11406,11407,2,True,4,11,False,3,True,1,0.52,0.32,0.1343,42,177,219,Medium-High demand
2082,2083,2,False,4,15,False,5,True,1,0.34,0.46,0.4179,30,81,111,Medium-High demand
16054,16055,4,True,11,15,False,2,True,1,0.34,0.46,0.2537,45,227,272,Medium-High demand
15281,15282,4,True,10,22,False,3,True,1,0.66,0.74,0.0,9,232,241,Medium-Low demand
17270,17271,1,True,12,11,False,4,True,2,0.28,0.56,0.4478,23,80,103,Medium-High demand
8239,8240,4,False,12,23,False,3,True,1,0.32,0.7,0.1642,3,48,51,Low demand
14840,14841,3,True,9,13,False,6,False,1,0.68,0.36,0.194,327,377,704,High demand
8904,8905,1,True,1,21,False,3,True,3,0.34,0.87,0.2239,0,29,29,Low demand
3597,3598,2,False,6,19,False,5,True,1,0.68,0.26,0.2836,53,338,391,High demand
2956,2957,2,False,5,2,False,0,False,1,0.48,0.63,0.0,17,42,59,Medium-Low demand
10887,10888,2,True,4,19,False,2,True,1,0.56,0.26,0.1045,98,460,558,High demand
17043,17044,4,True,12,22,False,1,True,2,0.42,0.94,0.1343,5,49,54,Medium-Low demand
13020,13021,3,True,7,17,False,0,False,1,0.92,0.26,0.2985,90,323,413,High demand
421,422,1,False,1,14,False,3,True,1,0.4,0.58,0.2537,7,68,75,Medium-Low demand
13112,13113,3,True,7,13,False,4,True,1,0.92,0.33,0.2239,129,181,310,High demand
2416,2417,2,False,4,14,True,5,False,1,0.54,0.52,0.2537,57,106,163,High demand
11055,11056,2,True,4,19,False,2,True,1,0.52,0.2,0.3582,51,428,479,High demand
3883,3884,2,False,6,17,False,3,True,1,0.74,0.28,0.1045,83,555,638,High demand
6535,6536,4,False,10,21,False,2,True,1,0.5,0.72,0.1343,22,144,166,Medium-High demand
2770,2771,2,False,4,8,False,6,False,1,0.4,0.54,0.2985,21,70,91,Medium-High demand
10912,10913,2,True,4,20,False,3,True,1,0.64,0.27,0.2239,39,333,372,Medium-High demand
1120,1121,1,False,2,10,False,6,False,1,0.42,0.16,0.5821,34,72,106,Medium-High demand
3105,3106,2,False,5,7,False,6,False,3,0.48,1.0,0.0,4,28,32,Low demand
346,347,1,False,1,22,False,6,False,2,0.3,0.42,0.1045,0,26,26,Low demand
13811,13812,3,True,8,16,False,5,True,2,0.86,0.41,0.2239,112,380,492,High demand
14545,14546,3,True,9,6,True,1,False,1,0.66,0.94,0.0,3,12,15,Low demand
8132,8133,4,False,12,12,False,6,False,1,0.32,0.45,0.4179,48,235,283,Medium-High demand
1794,1795,1,False,3,11,False,0,False,1,0.34,0.39,0.1045,92,111,203,High demand
13258,13259,3,True,7,15,False,3,True,1,0.8,0.41,0.2537,56,220,276,High demand
17247,17248,1,True,12,12,False,3,True,3,0.22,0.87,0.3284,0,10,10,Low demand
170,171,1,False,1,9,False,6,False,3,0.16,0.93,0.1045,0,20,20,Low demand
16246,16247,4,True,11,16,False,3,True,1,0.34,0.46,0.1045,31,290,321,Medium-High demand
6633,6634,4,False,10,23,False,6,False,1,0.48,0.88,0.0,52,90,142,High demand
2840,2841,2,False,5,6,False,2,True,2,0.52,0.94,0.1642,7,102,109,Medium-Low demand
13053,13054,3,True,7,2,False,2,True,1,0.72,0.58,0.0,2,8,10,Low demand
16047,16048,4,True,11,8,False,2,True,1,0.22,0.69,0.1642,20,568,588,Medium-High demand
6078,6079,3,False,9,20,False,4,True,1,0.46,0.63,0.3284,25,223,248,Medium-High demand
16587,16588,4,True,11,21,False,3,True,1,0.3,0.39,0.1642,4,219,223,Low demand
10045,10046,1,True,2,14,False,2,True,1,0.4,0.28,0.1045,13,121,134,Medium-Low demand
149,150,1,False,1,12,False,5,True,2,0.2,0.37,0.2537,9,50,59,Medium-Low demand
4416,4417,3,False,7,22,False,4,True,1,0.74,0.62,0.1642,32,150,182,Medium-High demand
12828,12829,3,True,6,17,False,6,False,1,0.82,0.26,0.2537,214,316,530,High demand
15097,15098,4,True,9,6,False,3,True,1,0.54,0.73,0.194,3,179,182,Low demand
4752,4753,3,False,7,22,False,4,True,1,0.82,0.71,0.1642,36,113,149,Medium-High demand
17070,17071,4,True,12,1,False,3,True,1,0.3,0.65,0.0896,1,14,15,Low demand
10918,10919,2,True,4,2,False,4,True,1,0.46,0.33,0.4478,7,11,18,Medium-Low demand
12667,12668,2,True,6,0,False,0,False,1,0.56,0.56,0.1343,31,117,148,Medium-High demand
7887,7888,4,False,11,7,False,3,True,1,0.26,0.81,0.1045,9,276,285,Medium-Low demand
1966,1967,2,False,3,18,False,0,False,1,0.3,0.33,0.194,32,105,137,Medium-High demand
4191,4192,3,False,6,13,False,2,True,1,0.84,0.44,0.0,33,156,189,Medium-High demand
12306,12307,2,True,6,23,False,5,True,3,0.6,0.88,0.1343,6,67,73,Medium-Low demand
2987,2988,2,False,5,9,False,1,True,1,0.54,0.56,0.1642,36,142,178,Medium-High demand
11502,11503,2,True,4,11,False,0,False,1,0.46,0.51,0.0,128,283,411,High demand
15173,15174,4,True,9,10,False,6,False,1,0.54,0.56,0.2537,134,338,472,High demand
4759,4760,3,False,7,5,False,5,True,1,0.74,0.79,0.1045,2,17,19,Low demand
13328,13329,3,True,7,13,False,6,False,2,0.76,0.62,0.0896,219,372,591,High demand
14046,14047,3,True,8,11,False,1,True,1,0.76,0.4,0.0896,94,151,245,High demand
3019,3020,2,False,5,17,False,2,True,1,0.64,0.33,0.0,79,532,611,High demand
8282,8283,4,False,12,18,False,5,True,2,0.32,0.45,0.2537,10,285,295,Medium-Low demand
12388,12389,2,True,6,9,False,2,True,2,0.52,0.72,0.2537,50,285,335,High demand
10458,10459,1,True,3,21,False,5,True,2,0.44,0.94,0.0,8,144,152,Medium-Low demand
9203,9204,1,True,1,9,False,2,True,2,0.32,0.87,0.0896,11,244,255,Medium-Low demand
4850,4851,3,False,7,0,False,2,True,1,0.7,0.79,0.1045,8,20,28,Medium-Low demand
5108,5109,3,False,8,18,False,5,True,1,0.76,0.52,0.2537,105,361,466,High demand
15977,15978,4,True,11,10,False,6,False,1,0.36,0.46,0.3881,68,260,328,High demand
14623,14624,3,True,9,12,False,4,True,2,0.72,0.79,0.2239,11,126,137,Medium-Low demand
13004,13005,3,True,7,1,False,0,False,1,0.74,0.7,0.1343,12,81,93,Medium-Low demand
2549,2550,2,False,4,3,False,4,True,2,0.46,0.51,0.4627,4,3,7,Low demand
10321,10322,1,True,3,4,False,0,False,1,0.24,0.6,0.1343,7,15,22,Medium-Low demand
8598,8599,1,False,12,1,False,5,True,1,0.26,0.65,0.0896,9,11,20,Medium-Low demand
8341,8342,4,False,12,5,False,1,True,1,0.14,0.93,0.1045,0,21,21,Low demand
10843,10844,2,True,4,22,False,0,False,3,0.5,0.63,0.1045,7,61,68,Medium-Low demand
7897,7898,4,False,11,17,False,3,True,2,0.34,0.49,0.3284,15,365,380,Medium-Low demand
9749,9750,1,True,2,4,False,4,True,3,0.3,0.7,0.0896,0,3,3,Low demand
3873,3874,2,False,6,7,False,3,True,1,0.54,0.6,0.1343,22,348,370,Medium-High demand
14758,14759,3,True,9,3,False,3,True,1,0.5,0.77,0.0896,0,7,7,Low demand
7683,7684,4,False,11,18,False,1,True,3,0.42,0.88,0.194,8,184,192,Medium-Low demand
3947,3948,2,False,6,9,False,6,False,1,0.7,0.61,0.2239,62,156,218,High demand
4111,4112,3,False,6,5,False,6,False,1,0.62,0.61,0.1343,6,8,14,Medium-Low demand
14958,14959,3,True,9,11,False,4,True,1,0.62,0.43,0.0,37,206,243,Medium-High demand
1750,1751,1,False,3,15,False,5,True,2,0.68,0.39,0.3582,62,111,173,High demand
4521,4522,3,False,7,7,False,2,True,1,0.76,0.55,0.194,29,301,330,Medium-High demand
4944,4945,3,False,7,22,False,5,True,1,0.8,0.49,0.2239,47,127,174,Medium-High demand
2582,2583,2,False,4,12,False,5,True,3,0.34,0.76,0.1343,19,61,80,Medium-High demand
5330,5331,3,False,8,0,False,1,True,3,0.6,0.88,0.0896,7,18,25,Medium-Low demand
13214,13215,3,True,7,19,False,1,True,1,0.74,0.55,0.1642,88,543,631,High demand
1413,1414,1,False,3,4,False,5,True,2,0.18,0.74,0.194,1,0,1,Low demand
3413,3414,2,False,5,3,False,5,True,1,0.66,0.65,0.0896,1,11,12,Low demand
10603,10604,2,True,3,22,False,4,True,1,0.56,0.83,0.194,56,164,220,High demand
15439,15440,4,True,10,12,False,3,True,1,0.54,0.56,0.2239,78,312,390,High demand
3037,3038,2,False,5,11,False,3,True,1,0.56,0.64,0.0896,18,123,141,Medium-High demand
11675,11676,2,True,5,16,False,0,False,2,0.62,0.61,0.0,181,363,544,High demand
3587,3588,2,False,6,9,False,5,True,1,0.58,0.4,0.1642,36,194,230,Medium-High demand
1303,1304,1,False,2,12,False,0,False,1,0.4,0.54,0.0896,61,132,193,High demand
1284,1285,1,False,2,16,False,6,False,1,0.36,0.46,0.2836,41,130,171,Medium-High demand
4218,4219,3,False,6,16,False,3,True,1,0.82,0.3,0.4179,60,268,328,High demand
10499,10500,1,True,3,14,False,0,False,2,0.5,0.77,0.0896,218,303,521,High demand
5919,5920,3,False,9,4,False,5,True,3,0.62,0.94,0.1642,0,3,3,Low demand
12623,12624,2,True,6,4,False,5,True,1,0.56,0.83,0.1642,1,13,14,Low demand
9235,9236,1,True,1,17,False,3,True,1,0.36,0.53,0.1642,27,443,470,Medium-High demand
1269,1270,1,False,2,1,False,6,False,1,0.24,0.52,0.2985,2,25,27,Low demand
3705,3706,2,False,6,7,False,3,True,1,0.66,0.74,0.1045,24,329,353,Medium-High demand
10857,10858,2,True,4,13,False,1,True,1,0.46,0.36,0.2985,97,184,281,High demand
7378,7379,4,False,11,1,False,3,True,1,0.34,0.87,0.0,0,10,10,Low demand
11425,11426,2,True,4,6,False,4,True,2,0.48,0.63,0.2537,5,122,127,Medium-Low demand
14138,14139,3,True,8,7,False,5,True,1,0.64,0.73,0.1045,11,368,379,Medium-Low demand
2075,2076,2,False,4,8,False,5,True,2,0.26,0.87,0.2537,8,198,206,Medium-Low demand
8587,8588,1,False,12,14,False,4,True,2,0.3,0.52,0.0,30,112,142,Medium-High demand
11139,11140,2,True,4,8,False,6,False,1,0.36,0.71,0.1343,24,136,160,Medium-High demand
15198,15199,4,True,9,11,False,0,False,1,0.6,0.43,0.2239,222,369,591,High demand
6540,6541,4,False,10,2,False,3,True,1,0.46,0.82,0.1642,1,2,3,Low demand
12917,12918,3,True,6,10,False,3,True,1,0.7,0.37,0.2537,34,138,172,Medium-High demand
15792,15793,4,True,10,5,False,4,True,2,0.52,0.88,0.1642,2,53,55,Low demand
13218,13219,3,True,7,23,False,1,True,2,0.7,0.65,0.1045,22,109,131,Medium-High demand
15812,15813,4,True,10,1,False,5,True,2,0.52,0.88,0.0896,4,32,36,Low demand
6321,6322,4,False,9,23,False,0,False,2,0.62,0.94,0.1045,12,67,79,Medium-Low demand
15359,15360,4,True,10,4,False,0,False,2,0.44,0.54,0.2537,5,6,11,Medium-Low demand
11190,11191,2,True,4,11,True,1,False,1,0.64,0.65,0.2537,115,136,251,High demand
12153,12154,2,True,5,14,False,6,False,1,0.76,0.66,0.2239,307,257,564,High demand
7799,7800,4,False,11,14,False,6,False,2,0.48,0.48,0.1343,141,158,299,High demand
1460,1461,1,False,3,3,False,0,False,2,0.42,0.82,0.2985,2,9,11,Low demand
14358,14359,3,True,8,11,False,0,False,1,0.74,0.66,0.3582,150,332,482,High demand
171,172,1,False,1,10,False,6,False,2,0.18,0.8,0.1642,5,56,61,Medium-Low demand
4755,4756,3,False,7,1,False,5,True,1,0.8,0.63,0.0,7,17,24,Medium-Low demand
3371,3372,2,False,5,9,False,3,True,1,0.68,0.65,0.0896,27,207,234,Medium-High demand
8979,8980,1,True,1,0,False,0,False,1,0.16,0.47,0.3284,9,50,59,Medium-Low demand
6114,6115,3,False,9,8,False,6,False,2,0.46,0.77,0.2537,27,81,108,Medium-High demand
9239,9240,1,True,1,21,False,3,True,1,0.3,0.65,0.0,19,166,185,Medium-High demand
3421,3422,2,False,5,11,False,5,True,2,0.74,0.55,0.3284,40,126,166,Medium-High demand
17090,17091,4,True,12,21,False,3,True,1,0.34,0.61,0.2239,4,164,168,Low demand
10117,10118,1,True,3,15,False,5,True,2,0.42,0.5,0.2985,5,73,78,Medium-Low demand
14904,14905,3,True,9,5,False,2,True,2,0.64,0.89,0.3284,3,45,48,Low demand
15970,15971,4,True,11,3,False,6,False,2,0.34,0.49,0.2537,6,22,28,Medium-Low demand
16039,16040,4,True,11,0,False,2,True,1,0.24,0.6,0.1045,1,18,19,Low demand
1072,1073,1,False,2,10,False,4,True,1,0.38,0.54,0.194,18,70,88,Medium-High demand
4025,4026,3,False,6,15,False,2,True,1,0.78,0.59,0.2537,42,128,170,Medium-High demand
2906,2907,2,False,5,0,False,5,True,1,0.44,0.44,0.1642,13,43,56,Medium-Low demand
7677,7678,4,False,11,12,False,1,True,2,0.5,0.77,0.1343,24,138,162,Medium-High demand
16958,16959,4,True,12,9,False,5,True,1,0.24,0.75,0.1343,13,330,343,Medium-Low demand
12382,12383,2,True,6,3,False,2,True,3,0.5,0.82,0.194,0,5,5,Low demand
9224,9225,1,True,1,6,False,3,True,1,0.24,0.73,0.2239,1,87,88,Low demand
15409,15410,4,True,10,6,False,2,True,2,0.38,0.82,0.2537,2,141,143,Low demand
7156,7157,4,False,10,19,False,0,False,1,0.56,0.49,0.2985,28,125,153,Medium-High demand
12680,12681,2,True,6,13,False,0,False,1,0.64,0.53,0.1642,267,347,614,High demand
11499,11500,2,True,4,8,False,0,False,1,0.38,0.76,0.1343,26,81,107,Medium-High demand
4337,4338,3,False,7,15,True,1,False,1,0.82,0.43,0.0896,224,184,408,High demand
6342,6343,4,False,9,20,False,1,True,1,0.64,0.89,0.1343,24,227,251,Medium-High demand
11147,11148,2,True,4,16,False,6,False,2,0.64,0.27,0.3582,253,329,582,High demand
15575,15576,4,True,10,4,False,2,True,1,0.42,0.67,0.1642,0,7,7,Low demand
15158,15159,4,True,9,19,False,5,True,3,0.62,0.5,0.2537,38,470,508,Medium-High demand
3681,3682,2,False,6,7,False,2,True,2,0.64,0.69,0.194,23,311,334,Medium-High demand
7485,7486,4,False,11,12,False,0,False,2,0.52,0.29,0.4179,112,242,354,High demand
9542,9543,1,True,2,13,False,2,True,1,0.44,0.38,0.2537,15,169,184,Medium-Low demand
11967,11968,2,True,5,20,False,5,True,1,0.62,0.41,0.1642,73,264,337,High demand
7945,7946,4,False,12,17,False,5,True,1,0.42,0.38,0.0,20,391,411,Medium-High demand
3697,3698,2,False,6,23,False,2,True,1,0.68,0.79,0.1045,18,72,90,Medium-High demand
11923,11924,2,True,5,0,False,4,True,1,0.6,0.78,0.1343,30,49,79,Medium-High demand
9863,9864,1,True,2,23,True,1,False,1,0.3,0.39,0.0,0,26,26,Low demand
